SchoolN,State Name,State Abbr,School Name,Agency Name,School Type,Locale,Total Students All Grades (Excludes AE),Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,American Indian/Alaska Native Students,Pupil/Teacher Ratio,Full-Time Equivalent Teachers
CREATIVE CITY PUBLIC CHARTER SCHOOL,Maryland,MD ,Creative City Public Charter School,Baltimore City Public Schools,1-Regular school,11-City: Large,327,2,4,272,37,–,12,327,–,13.91,23.50
CRELLIN ELEMENTARY,Maryland,MD ,Crellin Elementary,Garrett County Public Schools,1-Regular school,42-Rural: Distant,143,–,4,2,133,–,4,143,–,14.47,9.88
CRESAPTOWN ELEMENTARY,Maryland,MD ,Cresaptown Elementary,Allegany County Public Schools,1-Regular school,41-Rural: Fringe,321,2,8,7,288,–,16,321,–,16.81,19.10
CRESTHAVEN ELEMENTARY,Maryland,MD ,Cresthaven Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,557,46,269,206,23,1,11,557,1,13.93,40.00
CRESTWOOD MIDDLE,Maryland,MD ,Crestwood Middle,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,653,42,195,177,194,1,41,653,3,14.84,44.00
CRISFIELD ACADEMY AND HIGH SCHOOL,Maryland,MD ,Crisfield Academy and High School,Somerset County Public Schools,1-Regular school,32-Town: Distant,400,1,40,105,239,–,15,400,–,14.29,28.00
CROFTON ELEMENTARY,Maryland,MD ,Crofton Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,749,42,61,142,464,–,37,749,3,17.83,42.00
CROFTON MEADOWS ELEMENTARY,Maryland,MD ,Crofton Meadows Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,536,29,55,80,322,–,50,536,–,16.91,31.70
CROFTON MIDDLE,Maryland,MD ,Crofton Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1279,90,117,253,737,4,74,1279,4,17.20,74.34
CROFTON WOODS ELEMENTARY,Maryland,MD ,Crofton Woods Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,750,45,60,35,545,1,62,750,2,18.47,40.60
CROMWELL VALLEY ELEMENTARY REGIONAL MAGNET,Maryland,MD ,Cromwell Valley Elementary Technology,Baltimore County Public Schools,1-Regular school,13-City: Small,364,32,14,138,159,–,21,364,–,13.24,27.50
CROOM HIGH,Maryland,MD ,Croom High,Prince George's County Public Schools,4-Alternative Education School,41-Rural: Fringe,98,1,3,91,1,–,2,98,–,5.44,18.00
CROSS COUNTRY ELEMENTARY/MIDDLE,Maryland,MD ,Cross Country Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,704,–,89,594,16,2,3,704,–,16.56,42.50
CROSSLAND EVENING/SATURDAY HIGH,Maryland,MD ,Crossland Evening/Saturday High,Prince George's County Public Schools,4-Alternative Education School,21-Suburb: Large,200,–,32,158,7,–,2,200,1,†,–
CROSSLAND HIGH,Maryland,MD ,Crossland High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1015,13,279,708,7,1,5,1015,2,12.85,79.00
CROSSROADS CENTER,Maryland,MD ,Crossroads Center,Baltimore County Public Schools,4-Alternative Education School,21-Suburb: Large,179,–,16,71,86,–,5,179,1,7.31,24.50
CROSSROADS MIDDLE SCHOOL,Maryland,MD ,Crossroads Middle School,Carroll County Public Schools,4-Alternative Education School,41-Rural: Fringe,5,–,–,–,5,–,–,5,–,1.25,4.00
CURTIS BAY ELEMENTARY,Maryland,MD ,Curtis Bay Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,573,–,109,257,176,1,29,573,1,15.92,36.00
DALLAS F. NICHOLAS SR. ELEMENTARY,Maryland,MD ,Dallas F. Nicholas Sr. Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,241,9,15,210,–,6,–,241,1,13.03,18.50
DAMASCUS ELEMENTARY,Maryland,MD ,Damascus Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,341,13,112,20,168,–,27,341,1,14.03,24.30
DAMASCUS HIGH,Maryland,MD ,Damascus High,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1311,116,270,160,694,1,66,1311,4,16.72,78.40
DANIEL OF ST. THOMAS JENIFER ELEMENTARY SCHOOL,MARYLAND,MD ,Daniel of St. Thomas Jenifer Elementary School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,605,36,76,383,56,2,47,605,5,16.49,36.69
DARLINGTON ELEMENTARY,Maryland,MD ,Darlington Elementary,Harford County Public Schools,1-Regular school,41-Rural: Fringe,106,1,7,4,90,–,4,106,–,8.95,11.85
DARNESTOWN ELEMENTARY,Maryland,MD ,Darnestown Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,310,38,17,35,203,–,17,310,–,13.30,23.30
DAVIDSONVILLE ELEMENTARY,Maryland,MD ,Davidsonville Elementary,Anne Arundel County Public Schools,1-Regular school,41-Rural: Fringe,656,21,40,18,541,–,34,656,2,17.68,37.10
DAYTON OAKS,Maryland,MD ,Dayton Oaks,Howard County Public Schools,1-Regular school,41-Rural: Fringe,727,152,36,75,420,–,41,727,3,12.87,56.50
DEAL ISLAND SCHOOL,Maryland,MD ,Deal Island School,Somerset County Public Schools,1-Regular school,42-Rural: Distant,137,2,7,10,115,–,3,137,–,15.22,9.00
DEALE ELEMENTARY,Maryland,MD ,Deale Elementary,Anne Arundel County Public Schools,1-Regular school,31-Town: Fringe,217,–,17,2,186,–,12,217,–,11.30,19.20
DEEP CREEK ELEMENTARY,Maryland,MD ,Deep Creek Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,480,6,34,339,59,2,35,480,5,14.46,33.20
DEEP CREEK MIDDLE,Maryland,MD ,Deep Creek Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,805,7,93,470,173,1,59,805,2,15.94,50.50
DEEP RUN ELEMENTARY,Maryland,MD ,Deep Run Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,729,106,293,109,177,–,36,729,8,11.70,62.30
DEER CROSSING ELEMENTARY,Maryland,MD ,Deer Crossing Elementary,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,788,14,58,22,662,2,29,788,1,18.12,43.48
DEER PARK ELEMENTARY,Maryland,MD ,Deer Park Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,393,4,5,373,4,–,7,393,–,14.83,26.50
DEER PARK MIDDLE MAGNET SCHOOL,Maryland,MD ,Deer Park Middle Magnet School,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1285,23,63,1133,32,1,30,1285,3,16.91,76.00
DEERFIELD ELEMENTARY,Maryland,MD ,Deerfield Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,765,13,80,371,208,5,86,765,2,14.08,54.34
DEERFIELD RUN ELEMENTARY,Maryland,MD ,Deerfield Run Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,617,5,222,361,16,2,9,617,2,16.86,36.60
DELMAR ELEMENTARY,Maryland,MD ,Delmar Elementary,Wicomico County Public Schools,1-Regular school,23-Suburb: Small,875,20,70,127,560,–,96,875,2,16.83,52.00
DENTON ELEMENTARY SCHOOL,Maryland,MD ,Denton Elementary School,Caroline County Public Schools,1-Regular school,32-Town: Distant,721,15,53,113,469,–,71,721,–,14.42,50.00
DIAMOND ELEMENTARY,Maryland,MD ,Diamond Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,770,369,87,78,191,–,44,770,1,16.08,47.90
DICKEY HILL ELEMENTARY/MIDDLE,Maryland,MD ,Dickey Hill Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,397,–,10,382,3,–,1,397,1,16.89,23.50
DIGITAL HARBOR HIGH SCHOOL,Maryland,MD ,Digital Harbor High School,Baltimore City Public Schools,3-Career and Technical School,11-City: Large,1196,18,307,775,88,4,2,1196,2,16.38,73.00
DISTRICT HEIGHTS ELEMENTARY,Maryland,MD ,District Heights Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,382,–,56,319,5,–,1,382,1,14.98,25.50
DODGE PARK ELEMENTARY,Maryland,MD ,Dodge Park Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,606,42,175,363,22,2,1,606,1,14.00,43.30
DOGWOOD ELEMENTARY,Maryland,MD ,Dogwood Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,706,49,25,576,21,–,21,706,14,18.29,38.60
DORA KENNEDY FRENCH IMMERSION,Maryland,MD ,Dora Kennedy French Immersion,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,673,19,39,506,88,1,19,673,1,14.32,47.00
DORCHESTER COUNTY CAREER AND TECHNOLOGY CENTER,Maryland,MD ,Dorchester County Career and Technology Center,Dorchester County Public Schools,3-Career and Technical School,41-Rural: Fringe,0,0,0,0,0,0,0,0,0,0.00,19.00
DOROTHY I. HEIGHT ELEMENTARY,Maryland,MD ,Dorothy I. Height Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,341,5,6,324,3,–,–,341,3,17.05,20.00
DOSWELL E. BROOKS ELEMENTARY,Maryland,MD ,Doswell E. Brooks Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,231,2,55,167,5,–,2,231,–,9.96,23.20
DOWELL ELEMENTARY,Maryland,MD ,Dowell Elementary,Calvert County Public Schools,1-Regular school,23-Suburb: Small,571,14,40,52,399,–,63,571,3,16.36,34.90
DR. BERNARD HARRIS SR. ELEMENTARY,Maryland,MD ,Dr. Bernard Harris Sr. Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,316,–,5,309,1,–,1,316,–,18.06,17.50
DR. CHARLES R. DREW ELEMENTARY,Maryland,MD ,Dr. Charles R. Drew Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,469,58,118,204,60,1,27,469,1,13.52,34.70
DR. GUSTAVUS BROWN ELEMENTARY,Maryland,MD ,Dr. Gustavus Brown Elementary,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,446,4,70,280,49,1,41,446,1,16.02,27.84
DR. HENRY A. WISE JR. HIGH,Maryland,MD ,Dr. Henry A. Wise Jr. High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,2295,21,232,1958,40,1,34,2295,9,17.39,132.00
DR. JAMES A. FORREST CAREER AND TECHNOLOGY CENTER,Maryland,MD ,Dr. James A. Forrest Career and Technology Center,St. Mary's County Public Schools,3-Career and Technical School,41-Rural: Fringe,0,0,0,0,0,0,0,0,0,0.00,25.00
DR. JAMES CRAIK ELEMENTARY SCHOOL,Maryland,MD ,Dr. James Craik Elementary School,Charles County Public Schools,1-Regular school,41-Rural: Fringe,528,14,44,123,298,–,47,528,2,15.70,33.62
DR. MARTIN LUTHER KING JR. ELEMENTARY/MIDDLE,Maryland,MD ,Dr. Martin Luther King Jr. Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,290,–,6,279,3,1,–,290,1,14.15,20.50
DR. NATHAN A. PITTS-ASHBURTON ELEMENTARY/MIDDLE,Maryland,MD ,Dr. Nathan A. Pitts-Ashburton Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,372,–,7,358,2,–,5,372,–,14.20,26.20
DR. RONALD E. MCNAIR ELEMENTARY,Maryland,MD ,Ronald A. McNair Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,847,240,145,220,168,3,71,847,–,18.18,46.60
DR. SALLY K. RIDE ELEMENTARY,Maryland,MD ,Dr. Sally K. Ride Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,519,78,172,207,39,1,22,519,–,13.27,39.10
DR. SAMUEL A. MUDD ELEMENTARY SCHOOL,Maryland,MD ,Dr. Samuel A. Mudd Elementary School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,423,6,83,263,39,–,28,423,4,14.38,29.42
DR. THOMAS L. HIGDON ELEMENTARY SCHOOL,Maryland,MD ,Dr. Thomas L. Higdon Elementary School,Charles County Public Schools,1-Regular school,41-Rural: Fringe,421,5,17,51,313,–,34,421,1,14.86,28.33
DREW FREEMAN MIDDLE,Maryland,MD ,Drew Freeman Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,818,6,156,636,8,3,7,818,2,13.57,60.30
DUBLIN ELEMENTARY,Maryland,MD ,Dublin Elementary,Harford County Public Schools,1-Regular school,42-Rural: Distant,238,–,10,5,211,1,11,238,–,13.37,17.80
DUCKETTS LANE,Maryland,MD ,Ducketts Lane,Howard County Public Schools,1-Regular school,21-Suburb: Large,606,84,125,225,140,1,27,606,4,11.59,52.30
DUFIEF ELEMENTARY,Maryland,MD ,DuFief Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,310,87,37,39,116,1,30,310,–,11.72,26.45
DULANEY HIGH,Maryland,MD ,Dulaney High,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1879,252,181,385,984,1,72,1879,4,17.81,105.50
DUMBARTON MIDDLE,Maryland,MD ,Dumbarton Middle,Baltimore County Public Schools,1-Regular school,13-City: Small,1168,92,146,136,730,1,62,1168,1,16.78,69.60
DUNDALK ELEMENTARY,Maryland,MD ,Dundalk Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,721,–,116,248,271,4,74,721,8,16.92,42.60
DUNDALK HIGH,Maryland,MD ,Dundalk High,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1621,42,429,357,683,3,92,1621,15,14.60,111.00
DUNDALK MIDDLE,Maryland,MD ,Dundalk Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,718,21,180,209,247,3,48,718,10,12.60,57.00
DUNLOGGIN MIDDLE,Maryland,MD ,Dunloggin Middle,Howard County Public Schools,1-Regular school,21-Suburb: Large,660,218,54,105,256,1,26,660,–,14.35,46.00
DUVAL HIGH,Maryland,MD ,Duval High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,2022,52,744,1159,33,6,24,2022,4,16.71,121.00
DWIGHT D. EISENHOWER MIDDLE,Maryland,MD ,Dwight D. Eisenhower Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,958,17,409,482,35,4,10,958,1,15.17,63.16
DYNARD ELEMENTARY,Maryland,MD ,Dynard Elementary,St. Mary's County Public Schools,1-Regular school,42-Rural: Distant,449,1,17,29,361,1,40,449,–,17.20,26.10
E. RUSSELL HICKS MIDDLE,Maryland,MD ,E. Russell Hicks Middle,Washingtion County Public Schools,1-Regular school,13-City: Small,820,35,122,183,390,–,90,820,–,16.66,49.22
EAGER STREET ACADEMY,Maryland,MD ,Eager Street Academy,Baltimore City Public Schools,4-Alternative Education School,11-City: Large,35,–,2,32,1,–,–,35,–,4.38,8.00
EARLE B. WOOD MIDDLE,Maryland,MD ,Earle B. Wood Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,964,102,432,139,246,1,44,964,–,12.99,74.20
EAST SALISBURY ELEMENTARY,Maryland,MD ,East Salisbury Elementary,Wicomico County Public Schools,1-Regular school,13-City: Small,464,6,81,215,105,–,51,464,6,13.26,35.00
EAST SILVER SPRING ELEMENTARY,Maryland,MD ,East Silver Spring Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,511,12,103,295,78,1,21,511,1,12.56,40.70
EASTERN ELEMENTARY,Maryland,MD ,Eastern Elementary,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,439,15,63,135,173,–,53,439,–,14.16,31.00
EASTERN MIDDLE,Maryland,MD ,Eastern Middle School,Montgomery County Public Schools,1-Regular school,13-City: Small,970,90,453,192,197,1,35,970,2,13.40,72.40
EASTERN TECHNICAL HIGH SCHOOL,Maryland,MD ,Eastern Technical High School,Baltimore County Public Schools,3-Career and Technical School,21-Suburb: Large,1172,216,61,236,610,–,43,1172,6,17.76,66.00
EASTON ELEMENTARY,Maryland,MD ,Easton Elementary,Talbot County Public Schools,1-Regular school,32-Town: Distant,1064,21,410,237,324,–,72,1064,–,12.83,82.93
EASTON HIGH,Maryland,MD ,Easton High,Talbot County Public Schools,1-Regular school,32-Town: Distant,1196,29,218,193,700,1,53,1196,2,17.33,69.00
EASTON MIDDLE,Maryland,MD ,Easton Middle,Talbot County Public Schools,1-Regular school,32-Town: Distant,827,15,177,135,459,1,39,827,1,17.78,46.50
EASTPORT ELEMENTARY,Maryland,MD ,Eastport Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,241,4,116,95,20,–,6,241,–,10.57,22.80
EBB VALLEY ELEMENTARY,Maryland,MD ,Ebb Valley Elementary,Carroll County Public Schools,1-Regular school,41-Rural: Fringe,522,8,17,12,468,4,12,522,1,15.35,34.00
EDGEMERE ELEMENTARY,Maryland,MD ,Edgemere Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,485,7,20,20,403,1,30,485,4,17.70,27.40
EDGEWATER ELEMENTARY,Maryland,MD ,Edgewater Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,573,18,138,10,383,1,23,573,–,16.23,35.30
EDGEWOOD ELEMENTARY,Maryland,MD ,Edgewood Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,187,–,2,183,2,–,–,187,–,11.00,17.00
EDGEWOOD ELEMENTARY,Maryland,MD ,Edgewood Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,381,6,60,200,93,2,17,381,3,12.69,30.03
EDGEWOOD HIGH,Maryland,MD ,Edgewood High,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,1387,45,148,639,461,2,89,1387,3,16.93,81.93
EDGEWOOD MIDDLE,Maryland,MD ,Edgewood Middle,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,1118,27,125,504,355,2,101,1118,4,14.27,78.34
EDMONDSON HEIGHTS ELEMENTARY,Maryland,MD ,Edmondson Heights Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,540,19,47,417,35,–,19,540,3,16.93,31.90
EDMONDSON-WESTSIDE HIGH,Maryland,MD ,Edmondson-Westside High,Baltimore City Public Schools,3-Career and Technical School,11-City: Large,881,1,10,860,9,1,–,881,–,14.68,60.00
EDWARD M. FELEGY ES,MARYLAND,MD ,Edward M. Felegy ES,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,797,11,572,185,15,1,9,797,4,11.90,67.00
ELDERSBURG ELEMENTARY,Maryland,MD ,Eldersburg Elementary,Carroll County Public Schools,1-Regular school,23-Suburb: Small,437,45,24,26,328,–,14,437,–,14.14,30.90
ELEANOR ROOSEVELT HIGH,Maryland,MD ,Eleanor Roosevelt High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,2649,258,523,1490,274,3,93,2649,8,20.53,129.00
ELK NECK ELEMENTARY,Maryland,MD ,Elk Neck Elementary,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,440,4,19,6,390,–,20,440,1,15.07,29.20
ELKRIDGE ELEMENTARY,Maryland,MD ,Elkridge Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,901,173,72,247,343,3,61,901,2,14.53,62.00
ELKRIDGE LANDING MIDDLE,Maryland,MD ,Elkridge Landing Middle,Howard County Public Schools,1-Regular school,21-Suburb: Large,744,126,58,169,341,2,47,744,1,13.93,53.40
ELKTON HIGH,Maryland,MD ,Elkton High,Cecil County Public Schools,1-Regular school,21-Suburb: Large,983,16,114,274,487,4,87,983,1,13.37,73.50
ELKTON MIDDLE,Maryland,MD ,Elkton Middle,Cecil County Public Schools,1-Regular school,21-Suburb: Large,556,8,72,159,248,1,62,556,6,11.32,49.10
ELLICOTT MILLS MIDDLE,Maryland,MD ,Ellicott Mills Middle,Howard County Public Schools,1-Regular school,21-Suburb: Large,869,275,49,123,377,3,41,869,1,14.83,58.60
ELMER A. HENDERSON: A JOHNS HOPKINS PARTNERSHIP,Maryland,MD ,Elmer A. Henderson: Johns Hopkins Partner School,Baltimore City Public Schools,1-Regular school,11-City: Large,546,1,12,522,7,–,2,546,2,18.20,30.00
ELMER A. WOLFE ELEMENTARY,Maryland,MD ,Elmer A. Wolfe Elementary,Carroll County Public Schools,1-Regular school,42-Rural: Distant,415,3,14,9,368,–,20,415,1,11.56,35.90
ELMWOOD ELEMENTARY,Maryland,MD ,Elmwood Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,595,24,60,340,126,–,44,595,1,16.08,37.00
EMMA K. DOUB ELEMENTARY,Maryland,MD ,Emma K. Doub Elementary,Washingtion County Public Schools,1-Regular school,13-City: Small,342,8,50,43,202,–,39,342,–,15.91,21.50
EMMITSBURG ELEMENTARY,Maryland,MD ,Emmitsburg Elementary,Frederick County Public Schools,1-Regular school,31-Town: Fringe,247,4,6,5,220,–,12,247,–,13.49,18.31
EMMORTON ELEMENTARY,Maryland,MD ,Emmorton Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,610,62,35,63,411,1,38,610,–,17.38,35.10
EMPOWERMENT ACADEMY,Maryland,MD ,Empowerment Academy,Baltimore City Public Schools,1-Regular school,11-City: Large,255,–,2,253,–,–,–,255,–,14.17,18.00
ERNEST EVERETT JUST MIDDLE,Maryland,MD ,Ernest Everett Just Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,735,14,43,658,6,1,10,735,3,16.15,45.50
ESPERANZA MIDDLE,Maryland,MD ,Esperanza Middle,St. Mary's County Public Schools,1-Regular school,13-City: Small,893,36,86,226,459,1,85,893,–,17.17,52.00
ESSEX ELEMENTARY,Maryland,MD ,Essex Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,517,13,70,67,321,–,34,517,12,17.01,30.40
EUTAW-MARSHBURN ELEMENTARY,Maryland,MD ,Eutaw-Marshburn Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,259,–,6,248,4,–,1,259,–,14.80,17.50
EVA TURNER ELEMENTARY SCHOOL,Maryland,MD ,Eva Turner Elementary School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,401,4,39,304,28,–,25,401,1,13.14,30.52
EVENING HIGH SCHOOL,Maryland,MD ,Evening High School,Washingtion County Public Schools,4-Alternative Education School,13-City: Small,0,0,0,0,0,0,0,0,0,†,0.00
EVERGREEN ELEMENTARY SCHOOL,Maryland,MD ,Evergreen Elementary School,St. Mary's County Public Schools,1-Regular school,23-Suburb: Small,769,38,94,82,493,4,56,769,2,18.62,41.30
EWELL SCHOOL,Maryland,MD ,Ewell School,Somerset County Public Schools,1-Regular school,42-Rural: Distant,6,–,–,–,6,–,–,6,–,†,–
EXCEL ACADEMY AT FRANCIS M. WOOD HIGH,Maryland,MD ,Excel Academy @ Francis M. Wood High,Baltimore City Public Schools,4-Alternative Education School,11-City: Large,574,–,6,555,9,–,–,574,4,22.08,26.00
EXCEL ACADEMY PUBLIC CHARTER,Maryland,MD ,Excel Academy Public Charter,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,424,1,33,383,4,1,1,424,1,13.25,32.00
EXTENDED DAY LEARNING PROGRAM,Maryland,MD ,Extended Day Learning Program,Baltimore County Public Schools,4-Alternative Education School,13-City: Small,67,4,4,37,20,–,2,67,–,†,–
F. B. GWYNN EDUCATIONAL CENTER,Maryland,MD ,F. B. Gwynn Educational Center,Charles County Public Schools,4-Alternative Education School,41-Rural: Fringe,0,0,0,0,0,0,0,0,0,0.00,22.16
FAIRLAND ELEMENTARY,Maryland,MD ,Fairland Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,628,44,170,356,29,1,26,628,2,13.28,47.30
FAIRMONT HEIGHTS HIGH,Maryland,MD ,Fairmont Heights High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,798,7,173,593,10,7,7,798,1,14.25,56.00
FALLSMEAD ELEMENTARY,Maryland,MD ,Fallsmead Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,562,181,44,62,240,2,31,562,2,17.62,31.90
FALLSTAFF ELEMENTARY/MIDDLE,Maryland,MD ,Fallstaff Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,467,4,214,235,8,2,2,467,2,14.83,31.50
FALLSTON HIGH,Maryland,MD ,Fallston High,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,985,20,38,29,857,–,39,985,2,14.43,68.25
FALLSTON MIDDLE SCHOOL,Maryland,MD ,Fallston Middle School,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,950,25,37,30,828,1,26,950,3,17.51,54.26
FARMLAND ELEMENTARY,Maryland,MD ,Farmland Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,830,259,103,55,374,–,37,830,2,17.62,47.10
FEATHERBED LANE ELEMENTARY,Maryland,MD ,Featherbed Lane Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,638,9,71,512,19,2,17,638,8,18.44,34.60
FEDERAL HILL PREPARATORY ACADEMY,Maryland,MD ,Federal Hill Preparatory School,Baltimore City Public Schools,1-Regular school,11-City: Large,323,11,23,183,95,2,9,323,–,14.36,22.50
FEDERALSBURG ELEMENTARY SCHOOL,Maryland,MD ,Federalsburg Elementary School,Caroline County Public Schools,1-Regular school,31-Town: Fringe,447,13,18,177,191,–,46,447,2,12.08,37.00
FERNDALE EARLY EDUCATION CENTER,Maryland,MD ,Ferndale Early Education Center,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,125,6,25,35,49,2,8,125,–,10.87,11.50
FIELDS ROAD ELEMENTARY,Maryland,MD ,Fields Road Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,474,73,166,84,124,–,27,474,–,12.71,37.30
FIFTH DISTRICT ELEMENTARY,Maryland,MD ,Fifth District Elementary,Baltimore County Public Schools,1-Regular school,41-Rural: Fringe,318,2,21,3,277,–,14,318,1,15.14,21.00
FLEXIBLE STUDENT SUPPORT,Maryland,MD ,Flexible Student Support,Carroll County Public Schools,4-Alternative Education School,41-Rural: Fringe,24,–,1,–,22,–,1,24,–,†,–
FLINTSTONE ELEMENTARY,Maryland,MD ,Flintstone Elementary,Allegany County Public Schools,1-Regular school,42-Rural: Distant,226,–,2,–,217,–,7,226,–,12.99,17.40
FLINTSTONE ELEMENTARY,Maryland,MD ,Flintstone Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,451,9,296,131,11,1,3,451,–,13.19,34.20
FLORA M. SINGER ELEMENTARY,Maryland,MD ,Flora M. Singer Elementary School,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,669,47,258,81,238,–,43,669,2,12.08,55.38
FLOWER HILL ELEMENTARY,Maryland,MD ,Flower Hill Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,456,46,221,132,31,1,23,456,2,13.10,34.80
FLOWER VALLEY ELEMENTARY,Maryland,MD ,Flower Valley Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,490,46,119,67,216,–,42,490,–,13.96,35.10
FOLGER MCKINSEY ELEMENTARY,Maryland,MD ,Folger Mckinsey Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,616,22,27,24,525,–,15,616,3,17.21,35.80
FOLLY QUARTER MIDDLE,Maryland,MD ,Folly Quarter Middle,Howard County Public Schools,1-Regular school,31-Town: Fringe,660,177,31,40,375,–,35,660,2,15.31,43.10
FOREST HEIGHTS ELEMENTARY,Maryland,MD ,Forest Heights Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,317,–,127,183,7,–,–,317,–,13.66,23.20
FOREST HILL ELEMENTARY,Maryland,MD ,Forest Hill Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,508,10,21,14,437,–,26,508,–,14.43,35.20
FOREST KNOLLS ELEMENTARY,Maryland,MD ,Forest Knolls Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,721,39,279,107,241,1,53,721,1,13.84,52.10
